iter	Passed	Remaining
0	60	60174
1	60	30219
2	60	20244
3	61	15289
4	61	12283
5	62	10276
6	62	8847
7	62	7770
8	62	6929
9	63	6256
10	63	5710
11	63	5251
12	64	4863
13	64	4536
14	64	4252
15	65	4003
16	65	3781
17	65	3581
18	65	3402
19	66	3246
20	66	3099
21	66	2967
22	67	2847
23	67	2735
24	67	2633
25	67	2540
26	68	2452
27	68	2370
28	68	2294
29	68	2226
30	69	2159
31	69	2098
32	69	2040
33	69	1985
34	70	1933
35	70	1884
36	70	1838
37	70	1794
38	71	1755
39	71	1715
40	71	1678
41	71	1642
42	72	1607
43	72	1574
44	72	1542
45	72	1513
46	73	1484
47	73	1459
48	73	1433
49	74	1408
50	74	1385
51	74	1363
52	75	1340
53	75	1318
54	75	1298
55	75	1277
56	76	1258
57	76	1239
58	76	1221
59	76	1203
60	77	1185
61	77	1168
62	77	1153
63	77	1138
64	78	1124
65	78	1110
66	78	1096
67	78	1080
68	79	1066
69	79	1053
70	79	1041
71	79	1029
72	80	1018
73	80	1007
74	80	996
75	81	985
76	81	974
77	81	963
78	81	953
79	82	943
80	82	933
81	82	924
82	82	915
83	83	905
84	83	896
85	83	887
86	83	878
87	83	870
88	84	862
89	84	853
90	84	845
91	84	837
92	85	830
93	85	823
94	85	816
95	85	809
96	86	802
97	86	795
98	86	789
99	86	782
100	87	776
101	87	768
102	87	762
103	87	756
104	88	750
105	88	745
106	88	739
107	88	733
108	89	728
109	89	722
110	89	717
111	89	712
112	90	707
113	90	703
114	90	698
115	91	693
116	91	688
117	91	684
118	91	679
119	92	675
120	92	670
121	92	666
122	92	661
123	92	656
124	93	652
125	93	648
126	94	648
127	94	643
128	94	639
129	94	635
130	95	631
131	95	627
132	95	623
133	95	619
134	96	616
135	96	612
136	96	608
137	96	604
138	96	600
139	97	597
140	97	593
141	97	590
142	97	587
143	98	584
144	98	580
145	98	577
146	98	574
147	99	571
148	99	568
149	99	564
150	99	561
151	100	558
152	100	555
153	100	552
154	100	549
155	101	547
156	101	544
157	101	542
158	101	539
159	102	536
160	102	533
161	102	531
162	102	528
163	103	526
164	103	523
165	103	521
166	103	518
167	104	515
168	104	513
169	104	511
170	105	509
171	105	506
172	105	504
173	105	502
174	106	500
175	106	498
176	106	497
177	107	494
178	107	492
179	107	490
180	107	487
181	108	485
182	108	483
183	108	481
184	108	479
185	109	477
186	109	475
187	109	473
188	109	471
189	110	469
190	110	467
191	110	465
192	110	463
193	111	461
194	111	459
195	111	458
196	111	456
197	112	454
198	112	452
199	112	450
200	112	448
201	113	446
202	113	445
203	113	443
204	113	441
205	114	439
206	114	438
207	114	436
208	114	434
209	115	433
210	115	431
211	115	429
212	115	428
213	116	426
214	116	424
215	116	423
216	116	421
217	117	420
218	117	418
219	117	417
220	117	415
221	118	414
222	118	412
223	118	411
224	118	409
225	119	407
226	119	406
227	119	405
228	120	404
229	120	403
230	120	401
231	120	400
232	121	399
233	121	397
234	121	396
235	122	396
236	122	395
237	123	394
238	123	392
239	123	391
240	123	390
241	124	388
242	124	387
243	124	386
244	124	385
245	125	383
246	125	382
247	125	381
248	125	379
249	126	378
250	126	377
251	126	376
252	126	374
253	127	373
254	127	372
255	127	370
256	127	369
257	128	368
258	128	367
259	128	366
260	128	365
261	129	364
262	129	362
263	129	361
264	130	360
265	130	359
266	130	358
267	130	357
268	131	356
269	131	355
270	131	353
271	131	352
272	132	351
273	132	350
274	132	349
275	132	348
276	133	347
277	133	346
278	133	345
279	133	344
280	134	343
281	134	342
282	134	341
283	135	340
284	135	339
285	135	338
286	135	337
287	136	336
288	136	335
289	136	334
290	136	333
291	137	332
292	137	332
293	137	331
294	138	330
295	138	329
296	138	328
297	139	327
298	139	326
299	139	325
300	139	324
301	140	323
302	140	322
303	140	321
304	140	321
305	141	320
306	141	319
307	141	318
308	141	317
309	142	316
310	142	315
311	142	314
312	143	313
313	143	312
314	143	312
315	143	311
316	143	310
317	144	309
318	144	308
319	144	307
320	144	306
321	145	305
322	145	304
323	145	303
324	145	303
325	146	302
326	146	301
327	146	300
328	146	299
329	147	298
330	147	298
331	147	297
332	147	296
333	148	295
334	148	294
335	148	293
336	148	292
337	149	292
338	149	291
339	149	290
340	150	290
341	150	289
342	150	288
343	150	287
344	151	287
345	151	286
346	151	285
347	152	285
348	152	284
349	152	283
350	152	282
