iter	Passed	Remaining
0	59	58992
1	59	29634
2	59	19823
3	59	14919
4	60	11974
5	60	10013
6	60	8611
7	60	7560
8	61	6741
9	61	6093
10	61	5561
11	62	5117
12	62	4740
13	62	4417
14	63	4138
15	63	3891
16	63	3674
17	63	3482
18	64	3311
19	64	3154
20	64	3012
21	64	2883
22	65	2765
23	65	2658
24	65	2559
25	65	2469
26	66	2385
27	66	2306
28	66	2232
29	66	2164
30	67	2099
31	67	2041
32	67	1984
33	67	1931
34	68	1880
35	68	1832
36	68	1787
37	68	1745
38	69	1706
39	69	1668
40	69	1633
41	70	1598
42	70	1564
43	70	1532
44	70	1503
45	71	1474
46	71	1446
47	71	1419
48	71	1394
49	72	1369
50	72	1345
51	72	1322
52	72	1300
53	73	1279
54	73	1259
55	73	1239
56	73	1220
57	74	1202
58	74	1184
59	74	1167
60	74	1150
61	75	1134
62	75	1119
63	75	1105
64	75	1090
65	76	1076
66	76	1062
67	76	1048
68	76	1035
69	76	1022
70	77	1010
71	77	998
72	77	986
73	77	975
74	78	964
75	78	954
76	78	943
77	78	933
78	79	923
79	79	913
80	79	904
81	79	894
82	80	884
83	80	875
84	80	866
85	80	858
86	80	849
87	81	841
88	81	833
89	81	826
90	82	819
91	82	811
92	82	804
93	82	797
94	82	789
95	83	782
96	83	775
97	83	769
98	83	763
99	84	756
100	84	750
101	84	745
102	84	739
103	85	734
104	85	728
105	85	722
106	85	717
107	86	711
108	86	706
109	86	700
110	86	695
111	87	690
112	87	685
113	87	680
114	87	675
115	88	670
116	88	665
117	88	661
118	88	656
119	89	652
120	89	648
121	89	643
122	89	639
123	89	635
124	90	631
125	90	627
126	90	623
127	90	619
128	91	615
129	91	611
130	91	607
131	91	604
132	92	600
133	92	596
134	92	592
135	92	589
136	93	585
137	93	582
138	93	578
139	93	575
140	93	572
141	94	568
142	94	565
143	94	562
144	94	559
145	95	556
146	95	553
147	95	550
148	95	547
149	96	544
150	96	541
151	96	538
152	96	535
153	96	532
154	97	529
155	97	527
156	97	524
157	97	521
158	98	518
159	98	515
160	98	512
161	98	510
162	98	507
163	99	504
164	99	502
165	99	500
166	99	497
167	99	495
168	100	492
169	100	491
170	100	488
171	101	486
172	101	484
173	101	482
174	101	480
175	102	477
176	102	475
177	102	473
178	102	471
179	103	469
180	103	467
181	103	465
182	103	463
183	103	460
184	104	458
185	104	456
186	104	454
187	104	452
188	105	451
189	105	449
190	105	447
191	105	445
192	106	443
193	106	441
194	106	439
195	106	437
196	106	436
197	107	434
198	107	432
199	107	430
200	107	428
201	108	427
202	108	425
203	108	423
204	108	421
205	108	419
206	109	418
207	109	417
208	109	415
209	110	414
210	110	412
211	110	411
212	110	409
213	111	408
214	111	406
215	111	405
